index,genre,id,title,popularity,runtime,vote_avg,vote_count,cast,director
15,Adventure Family Fantasy,2454,The Chronicles of Narnia: Prince Caspian,53.978602,150,6.3,1630,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson
16,Science Fiction Action Adventure,24428,The Avengers,144.448633,143,7.4,11776,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon
17,Adventure Action Fantasy,1865,Pirates of the Caribbean: On Stranger Tides,135.413856,136,6.4,4948,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall
18,Action Comedy Science Fiction,41154,Men in Black 3,52.035179,106,6.2,4160,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld
19,Action Adventure Fantasy,122917,The Hobbit: The Battle of the Five Armies,120.965743,144,7.1,4760,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
20,Action Adventure Fantasy,1930,The Amazing Spider-Man,89.866276,136,6.5,6586,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb
21,Action Adventure,20662,Robin Hood,37.668301,140,6.2,1398,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott
22,Adventure Fantasy,57158,The Hobbit: The Desolation of Smaug,94.370564,161,7.6,4524,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
23,Adventure Fantasy,2268,The Golden Compass,42.990906,113,5.8,1303,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz
24,Adventure Drama Action,254,King Kong,61.22601,187,6.6,2337,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson
25,Drama Romance Thriller,597,Titanic,100.025899,194,7.5,7562,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron
26,Adventure Action Science Fiction,271110,Captain America: Civil War,198.372395,147,7.1,7241,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo
27,Thriller Action Adventure Science Fiction,44833,Battleship,64.928382,131,5.5,2114,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg
28,Action Adventure Science Fiction Thriller,135397,Jurassic World,418.708552,124,6.5,8662,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Colin Trevorrow
29,Action Adventure Thriller,37724,Skyfall,93.004993,143,6.9,7604,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes
30,Action Adventure Fantasy,558,Spider-Man 2,35.149586,127,6.7,4321,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi
31,Action Adventure Science Fiction,68721,Iron Man 3,77.68208,130,6.8,8806,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black
32,Family Fantasy Adventure,12155,Alice in Wonderland,78.530105,108,6.4,4645,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton
33,Adventure Action Science Fiction Thriller,36668,X-Men: The Last Stand,3.857526,104,6.3,3525,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner
34,Animation Family,62211,Monsters University,89.186492,104,7,3528,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon
35,Science Fiction Action Adventure,8373,Transformers: Revenge of the Fallen,21.939663,150,6,3138,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay
36,Science Fiction Action Adventure,91314,Transformers: Age of Extinction,116.840296,165,5.8,3095,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay
37,Fantasy Adventure Family,68728,Oz: The Great and Powerful,46.985445,130,5.7,3530,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi
38,Action Adventure Fantasy,102382,The Amazing Spider-Man 2,89.270217,142,6.5,4179,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb
39,Adventure Action Science Fiction,20526,TRON: Legacy,73.79505,125,6.3,2841,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski
40,Animation Family Adventure Comedy,49013,Cars 2,49.98659,106,5.8,2033,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter
41,Adventure Action Thriller Science Fiction,44912,Green Lantern,51.872839,114,5.1,2487,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell
42,Animation Family Comedy,10193,Toy Story 3,59.995418,103,7.6,4597,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich
43,Action Science Fiction Thriller,534,Terminator Salvation,71.862892,115,5.9,2463,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG
44,Action,168259,Furious 7,102.322217,137,7.3,4176,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan
45,Action Drama Horror Science Fiction Thriller,72190,World War Z,81.834855,116,6.7,5560,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster
46,Action Adventure Fantasy Science Fiction,127585,X-Men: Days of Future Past,118.078691,131,7.5,6032,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer
47,Action Adventure Science Fiction,54138,Star Trek Into Darkness,78.291018,132,7.4,4418,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams
48,Action Family Fantasy,81005,Jack the Giant Slayer,43.349855,114,5.5,2598,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer
49,Drama Romance,64682,The Great Gatsby,61.196071,143,7.3,3769,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann
50,Adventure Fantasy Action Romance,9543,Prince of Persia: The Sands of Time,62.169881,116,6.2,2317,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell
51,Action Science Fiction Adventure,68726,Pacific Rim,56.523205,131,6.7,4794,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro
52,Action Science Fiction Adventure,38356,Transformers: Dark of the Moon,28.529607,154,6.1,3299,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay
53,Adventure Action,217,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,122,5.7,2495,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg
54,Adventure Animation Family,105864,The Good Dinosaur,51.692953,93,6.6,1736,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn
55,Animation Adventure Comedy Family Action,62177,Brave,125.114374,93,6.7,4641,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman
56,Action Adventure Science Fiction,188927,Star Trek Beyond,65.352913,122,6.6,2568,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin
57,Animation Family,10681,WALL·E,66.390712,98,7.8,6296,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton
58,Action Comedy Crime Thriller,5174,Rush Hour 3,22.57178,91,6.1,783,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner
59,Action Adventure Science Fiction,14161,2012,45.274225,158,5.6,4903,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich
60,Animation Drama,17979,A Christmas Carol,39.744242,96,6.6,1095,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis
61,Science Fiction Fantasy Action Adventure,76757,Jupiter Ascending,85.36908,124,5.2,2768,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski
62,Action Adventure,258489,The Legend of Tarzan,42.741719,109,5.5,2430,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates
63,Adventure Family Fantasy,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,143,6.7,2629,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson
64,Science Fiction,246655,X-Men: Apocalypse,139.272042,144,6.4,4721,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer
65,Drama Action Crime Thriller,155,The Dark Knight,187.322927,152,8.2,12002,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan
66,Animation Comedy Family Adventure,14160,Up,92.201962,96,7.7,6870,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter
67,Animation Family Adventure Science Fiction,15512,Monsters vs Aliens,36.167578,94,6,1423,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon
68,Action Science Fiction Adventure,1726,Iron Man,120.725053,126,7.4,8776,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau
69,Adventure Drama Family,44826,Hugo,32.319043,126,7,2141,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese
70,Action Adventure Comedy Science Fiction Western,8487,Wild Wild West,40.748915,106,5.1,1020,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld
71,Adventure Action Fantasy,1735,The Mummy: Tomb of the Dragon Emperor,60.034162,112,5.2,1387,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen
72,Action Adventure Crime Fantasy Science Fiction,297761,Suicide Squad,90.23792,123,5.9,7458,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer
73,Fantasy Comedy Family,2698,Evan Almighty,27.082182,96,5.3,1151,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac
74,Action Science Fiction,137113,Edge of Tomorrow,79.456485,113,7.6,4858,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman
75,Adventure Action,9804,Waterworld,44.640292,135,5.9,992,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds
76,Adventure Action Thriller Science Fiction,14869,G.I. Joe: The Rise of Cobra,32.852443,118,5.6,1962,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers
77,Drama Comedy Animation Family,150540,Inside Out,128.655964,94,8,6560,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter
78,Family Adventure Drama Fantasy,278927,The Jungle Book,94.199316,106,6.7,2892,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau
79,Adventure Action Science Fiction,10138,Iron Man 2,77.300194,124,6.6,6849,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau
80,Adventure Fantasy Drama,58595,Snow White and the Huntsman,77.178973,127,5.8,3118,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders
81,Fantasy Adventure Action Family Romance,102651,Maleficent,110.620647,97,7,4496,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg
82,Science Fiction Action Drama Thriller,119450,Dawn of the Planet of the Apes,243.791743,130,7.3,4410,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves
83,Action Adventure Science Fiction Romance,79698,The Lovers,2.418535,109,4.8,34,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9
84,Drama Action Adventure Fantasy,64686,47 Ronin,41.796339,119,5.9,1326,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch
85,Action Adventure Science Fiction,100402,Captain America: The Winter Soldier,72.225265,136,7.6,5764,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo
86,Comedy Adventure Fantasy Animation Family,10192,Shrek Forever After,44.041186,93,6,1959,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Mike Mitchell
87,Adventure Family Mystery Science Fiction,158852,Tomorrowland,130.311355,130,6.2,2846,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird
88,Adventure Family Animation Action Comedy,177572,Big Hero 6,203.73459,102,7.8,6135,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams
89,Family Animation Comedy Adventure,82690,Wreck-It Ralph,62.341073,108,7.1,4570,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Rich Moore
90,Adventure Animation Family Fantasy,5255,The Polar Express,47.323228,100,6.4,1474,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Robert Zemeckis
91,Action Adventure Science Fiction,47933,Independence Day: Resurgence,48.775723,120,4.9,2491,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,Roland Emmerich
92,Fantasy Adventure Animation Family,10191,How to Train Your Dragon,67.263269,98,7.5,4227,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,Chris Sanders
93,Action Thriller Science Fiction,296,Terminator 3: Rise of the Machines,69.405188,109,5.9,2143,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,Jonathan Mostow
94,Action Science Fiction Adventure,118340,Guardians of the Galaxy,481.098624,121,7.9,9742,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,James Gunn
95,Adventure Drama Science Fiction,157336,Interstellar,724.247784,169,8.1,10867,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Christopher Nolan
96,Action Thriller Science Fiction Mystery Adventure,27205,Inception,167.58371,148,8.1,13752,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan
98,Adventure Fantasy Action,49051,The Hobbit: An Unexpected Journey,108.849621,169,7,8297,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Peter Jackson
99,Action Crime Thriller,9799,The Fast and the Furious,6.909942,106,6.6,3428,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,Rob Cohen
100,Fantasy Drama Thriller Mystery Romance,4922,The Curious Case of Benjamin Button,60.269279,166,7.3,3292,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,David Fincher
101,Action Science Fiction Adventure,49538,X-Men: First Class,3.195174,132,7.1,5181,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,Matthew Vaughn
102,Action Adventure Science Fiction,131634,The Hunger Games: Mockingjay - Part 2,127.284427,137,6.6,3984,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
103,Fantasy Adventure Action Comedy Drama,27022,The Sorcerer's Apprentice,35.580815,109,5.8,1470,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,Jon Turteltaub
104,Adventure Action Drama Thriller,503,Poseidon,21.133748,99,5.5,583,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,Wolfgang Petersen
105,Fantasy,241259,Alice Through the Looking Glass,56.268916,113,6.5,1725,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,James Bobin
106,Fantasy Adventure Animation Comedy Family,810,Shrek the Third,42.986467,93,6,2278,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Chris Miller
107,Action Adventure Fantasy,68735,Warcraft,63.148529,123,6.3,2268,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,Duncan Jones
108,Science Fiction Action Thriller Adventure,87101,Terminator Genisys,202.042635,126,5.8,3631,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor
109,Adventure Family Fantasy,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,113,6.2,1514,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,Michael Apted
110,History Romance War,676,Pearl Harbor,34.20669,183,6.6,1791,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,Michael Bay
111,Adventure Science Fiction Action,1858,Transformers,25.468493,144,6.6,4040,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,Michael Bay
112,War History Action Adventure Drama,1966,Alexander,39.019229,175,5.6,927,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,Oliver Stone
113,Adventure Fantasy Family Mystery,675,Harry Potter and the Order of the Phoenix,78.144395,138,7.4,5494,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,David Yates
114,Adventure Fantasy Family,674,Harry Potter and the Goblet of Fire,101.250416,157,7.5,5608,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,Mike Newell
115,Fantasy Action,8960,Hancock,56.758411,92,6.2,2961,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,Peter Berg
116,Drama Horror Action Thriller Science Fiction,6479,I Am Legend,70.867401,101,6.9,4853,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,Francis Lawrence
117,Adventure Comedy Family Fantasy,118,Charlie and the Chocolate Factory,53.905592,115,6.7,3624,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,Tim Burton
118,Animation Comedy Family Fantasy,2062,Ratatouille,65.677399,111,7.5,4369,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,Jan Pinkava
119,Action Crime Drama,272,Batman Begins,115.040024,140,7.5,7359,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,Christopher Nolan
120,Family Animation,10527,Madagascar: Escape 2 Africa,44.141021,89,6.2,1810,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,Eric Darnell
121,Adventure Fantasy Action Comedy Family,18360,Night at the Museum: Battle of the Smithsonian,81.781591,105,5.9,1971,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,Shawn Levy
122,Adventure Action Thriller Science Fiction,2080,X-Men Origins: Wolverine,5.954334,107,6.2,4021,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,Gavin Hood
123,Adventure Action Thriller Science Fiction,605,The Matrix Revolutions,73.313918,129,6.4,3096,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,Lilly Wachowski
124,Animation Adventure Family,109445,Frozen,165.125366,102,7.3,5295,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Chris Buck
125,Adventure Action Thriller Science Fiction,604,The Matrix Reloaded,70.78591,138,6.7,3443,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,Lilly Wachowski
126,Action Adventure Fantasy,76338,Thor: The Dark World,99.499595,112,6.8,4755,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,Alan Taylor
127,Action Adventure Science Fiction Thriller,76341,Mad Max: Fury Road,434.278564,120,7.2,9427,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,George Miller
128,Thriller Mystery,13448,Angels & Demons,67.447636,138,6.5,2129,Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino,Ron Howard
129,Adventure Fantasy Action,10195,Thor,86.493424,115,6.6,6525,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,Kenneth Branagh
130,Animation Family Adventure Comedy,13053,Bolt,41.845878,98,6.3,1750,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell,Chris Williams
131,Fantasy Action Adventure Family Comedy,19585,G-Force,26.710398,88,5.1,510,Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi,Hoyt Yeatman
132,Adventure,57165,Wrath of the Titans,44.927635,99,5.5,1431,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell,Jonathan Liebesman
133,Comedy Fantasy,62213,Dark Shadows,50.306728,113,5.7,2320,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,Tim Burton
134,Action Adventure Thriller,177677,Mission: Impossible - Rogue Nation,114.522237,131,7.1,3224,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,Christopher McQuarrie
135,Drama Horror Thriller,7978,The Wolfman,21.214571,102,5.5,549,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes,Joe Johnston
136,Family Animation Adventure Comedy,5559,Bee Movie,29.332905,91,5.7,1171,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,Steve Hickner
137,Animation Family,49444,Kung Fu Panda 2,51.247321,91,6.7,1880,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan,Jennifer Yuh Nelson
138,Action Adventure Family Fantasy,10196,The Last Airbender,33.769336,103,4.7,1151,Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub,M. Night Shyamalan
139,Adventure Action Thriller,956,Mission: Impossible III,63.079003,126,6.5,2028,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers,J.J. Abrams
140,Action Drama Thriller,117251,White House Down,39.004588,131,6.4,1891,Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins,Roland Emmerich
141,Adventure Animation Family,50321,Mars Needs Moms,12.362599,88,5.5,199,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois,Simon Wells
142,Adventure Animation Comedy Family,11619,Flushed Away,22.550135,85,6,874,Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy,David Bowers
143,Adventure Family Fantasy,266647,Pan,48.03528,111,5.9,954,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Joe Wright
144,Animation Adventure Family,82703,Mr. Peabody & Sherman,38.73494,92,6.7,843,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper,Rob Minkoff
145,Adventure Drama War,652,Troy,66.803149,163,6.9,2759,Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean,Wolfgang Petersen
146,Animation Family,80321,Madagascar 3: Europe's Most Wanted,44.989192,93,6.4,1808,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock,Conrad Vernon
147,Adventure Action Thriller,36669,Die Another Day,54.159392,133,5.8,1092,Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens,Lee Tamahori
148,Action Fantasy Comedy,43074,Ghostbusters,66.21806,116,5.3,2142,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,Paul Feig
149,Action Thriller Science Fiction Adventure,95,Armageddon,58.485967,151,6.4,2482,Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler Will Patton,Michael Bay
150,Action Adventure Comedy Science Fiction,608,Men in Black II,91.332849,88,6,3114,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville,Barry Sonnenfeld
151,Adventure Action Animation,2310,Beowulf,35.601665,115,5.5,841,Ray Winstone Angelina Jolie Anthony Hopkins Robin Wright John Malkovich,Robert Zemeckis
152,Action Adventure Animation Comedy Family,140300,Kung Fu Panda 3,56.747978,95,6.7,1603,Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons,Jennifer Yuh Nelson
153,Action Thriller Adventure,56292,Mission: Impossible - Ghost Protocol,77.77477,133,6.8,3972,Tom Cruise Jeremy Renner Simon Pegg Paula Patton Anil Kapoor,Brad Bird
154,Fantasy Animation Family,81188,Rise of the Guardians,61.788035,97,7.1,1922,Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman,Peter Ramsey
155,Comedy,7552,Fun with Dick and Jane,25.159168,90,5.9,627,Jim Carrey T\u00e9a Leoni Alec Baldwin Richard Jenkins Angie Harmon,Dean Parisot
